Time,City,District,Longitude,Latitude,Geohash
109年08月14日 04時51分00秒,高雄市,鳥松區,120.342833,22.657622,wsj8fkwypqb5
109年08月23日 10時08分00秒,高雄市,鳥松區,120.381200,22.658710,wsj8gkfut38w
109年12月11日 11時20分00秒,高雄市,鳥松區,120.380089,22.641444,wsj8g3dpgrh4
109年01月31日 11時04分00秒,高雄市,鳳山區,120.365555,22.589883,wsj8dbre8equ
109年02月13日 21時56分00秒,高雄市,鳳山區,120.358787,22.590467,wsj8db6x5022
109年03月28日 05時08分00秒,高雄市,鳳山區,120.356919,22.624374,wsj8dy9hx2zr
109年04月05日 22時18分00秒,高雄市,鳳山區,120.368657,22.634254,wsj8g03y0fzb
109年04月30日 15時47分00秒,高雄市,鳳山區,120.365666,22.640531,wsj8fcxdekcs
109年05月08日 16時50分00秒,高雄市,鳳山區,120.366540,22.590142,wsj8e02jpetm
109年06月05日 04時16分00秒,高雄市,鳳山區,120.351564,22.617443,wsj8dtmk4syq
109年06月13日 11時46分00秒,高雄市,鳳山區,120.383356,22.624657,wsj8eqsqpt8r
109年06月13日 21時19分00秒,高雄市,鳳山區,120.328400,22.592150,wsj8d0u2yfn0
109年06月25日 04時45分00秒,高雄市,鳳山區,120.329590,22.594292,wsj8d1jm69m3
109年10月02日 05時07分00秒,高雄市,鳳山區,120.355398,22.626147,wsj8dybnu592
109年11月10日 08時19分00秒,高雄市,鳳山區,120.349405,22.610612,wsj8ds5u27sd
109年09月15日 22時25分00秒,高雄市,鹽埕區,120.281200,22.624430,wsj89ndhg57m
109年02月05日 18時30分00秒,高雄市,鼓山區,120.279100,22.649940,wsj8c5296nv6
109年12月05日 22時50分00秒,高雄市,鼓山區,120.296366,22.667500,wsj8cqmpu2rb
